二级市,三级区县,四级镇街,lat,lng,详细地址
佛山市,禅城区,祖庙街道,23.031498,113.14099,禅城区祖庙街道
广州市,南沙区,珠江管理区,22.695983,113.569401,南沙区珠江管理区
广州市,天河区,珠吉街道,23.125245,113.431777,天河区珠吉街道
广州市,越秀区,珠光街道,23.125289,113.280178,越秀区珠光街道
广州市,增城区,朱村街道,23.278346,113.706649,增城区朱村街道
肇庆市,广宁县,洲仔镇,23.622023,112.304424,广宁县洲仔镇
广州市,白云区,钟落潭镇,23.39151,113.410967,白云区钟落潭镇
广州市,番禺区,钟村镇,22.971545,113.307422,番禺区钟村镇
肇庆市,怀集县,中洲镇,24.119906,112.171317,怀集县中洲镇
广州市,增城区,中新镇,23.295277,113.627606,增城区中新镇
香港,,中西区,22.287248,114.159155,中西区
东莞市,,中堂镇,23.09865,113.663936,中堂镇
中山市,,中山港街道,22.575775,113.498233,中山港街道
广州市,荔湾区,中南街道,23.057634,113.228361,荔湾区中南街道
江门市,鹤山市,址山镇,22.522317,112.792219,鹤山市址山镇
广州市,增城区,正果镇,23.42096,113.90002,增城区正果镇
惠州市,惠阳区,镇隆镇,22.941714,114.318139,惠阳区镇隆镇
肇庆市,四会市,贞山街道,23.344327,112.681224,四会市贞山街道
深圳市　,南山区,招商街道,22.503513,113.938473,南山区招商街道
广州市,黄埔区,长洲街道,23.079661,113.426133,黄埔区长洲街道
广州市,天河区,长兴街道,23.173671,113.364744,天河区长兴街道
江门市,开平市,长沙街道,22.389878,112.68655,开平市长沙街道
惠州市,博罗县,长宁镇,23.211817,114.047965,博罗县长宁镇
肇庆市,封开县,长岗镇,23.273334,111.590115,封开县长岗镇
东莞市,,长安镇,22.821046,113.809036,长安镇
肇庆市,封开县,长安镇,23.888312,111.908758,封开县长安镇
东莞市,,樟木头镇,22.920827,114.089784,樟木头镇
佛山市,禅城区,张槎街道,23.044913,113.087802,禅城区张槎街道
广州市,荔湾区,站前街道,23.145874,113.254387,荔湾区站前街道
江门市,鹤山市,宅梧镇,22.621625,112.641007,鹤山市宅梧镇
肇庆市,怀集县,闸岗镇,23.843252,112.114179,怀集县闸岗镇
广州市,增城区,增江街道,23.292102,113.848505,增城区增江街道
佛山市,三水区,云东海街道,23.21833,112.884595,三水区云东海街道
广州市,白云区,云城街,23.199636,113.277338,白云区云城街
深圳市　,南山区,粤海街道,22.519557,113.934424,南山区粤海街道
肇庆市,德庆县,悦城镇,23.099226,112.141151,德庆县悦城镇
江门市,开平市,月山镇,22.479451,112.736667,开平市月山镇
广州市,天河区,员村街道,23.125473,113.372559,天河区员村街道
惠州市,博罗县,园洲镇,23.131324,113.971223,博罗县园洲镇
深圳市　,龙岗区,园山街道,22.666638,114.230187,龙岗区园山街道
深圳市　,福田区,园岭街道,22.556237,114.101483,福田区园岭街道
香港,,元朗区,22.431889,114.044942,元朗区
广州市,天河区,元岗街道,23.178895,113.346969,天河区元岗街道
深圳市　,光明新区,玉塘街道,22.733861,113.904581,光明新区玉塘街道
肇庆市,封开县,渔涝镇,23.50449,111.752582,封开县渔涝镇
广州市,黄埔区,鱼珠街道,23.110028,113.461433,黄埔区鱼珠街道
香港,,油尖旺区,22.327645,114.181156,油尖旺区
广州市,白云区,永平街道,23.23231,113.309053,白云区永平街道
广州市,增城区,永宁街,23.182959,113.600969,增城区永宁街
惠州市,惠阳区,永湖镇,22.947716,114.506343,惠阳区永湖镇
广州市,黄埔区,永和街,23.197838,113.572904,黄埔区永和街
惠州市,龙门县,永汉镇,23.575522,113.98117,龙门县永汉镇
肇庆市,怀集县,永固镇,23.721749,112.081305,怀集县永固镇
肇庆市,德庆县,永丰镇,23.341598,112.125846,德庆县永丰镇
肇庆市,鼎湖区,永安镇,23.182293,112.701998,鼎湖区永安镇
惠州市,博罗县,杨桥镇,23.44504,114.506814,博罗县杨桥镇
佛山市,高明区,杨和镇,22.875725,112.792225,高明区杨和镇
惠州市,博罗县,杨村镇,23.437492,114.477736,博罗县杨村镇
深圳市　,宝安区,燕罗街道,22.804785,113.872355,宝安区燕罗街道
深圳市　,盐田区,盐田街道,22.594923,114.260038,盐田区盐田街道
江门市,鹤山市,雅瑶镇,22.71869,113.014971,鹤山市雅瑶镇
江门市,新会区,崖门镇,22.303383,113.063118,新会区崖门镇
广州市,花都区,秀全街,23.403629,113.171356,花都区秀全街
佛山市,顺德区,杏坛镇,22.794617,113.158847,顺德区杏坛镇
肇庆市,封开县,杏花镇,23.40309,111.720455,封开县杏花镇
广州市,天河区,兴华街道,23.171233,113.332742,天河区兴华街道
